,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,orbit,landpad_name,landpad_latitude,landpad_longitude,landing_attempts,landing_successes,outcome
39,Falcon 9,True,67,2018-08-07T05:18:00.000Z,2,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,3,0,0,3,3,B1046,Satellite,5800.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
40,Falcon 9,True,71,2018-12-03T18:34:00.000Z,3,True,True,True,True,True,ASDS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,3,0,0,3,3,B1046,Satellite,4000.0,SSO,JRTI,28.4104,-80.6188,38.0,37.0,1
41,Falcon 9,True,61,2018-05-11T20:14:00.000Z,1,True,True,False,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,3,0,0,3,3,B1046,Satellite,3750.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
42,Falcon 9,True,88,2020-01-19T14:00:00.000Z,4,False,False,True,False,False,,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,3,0,0,3,3,B1046,Crew Dragon,11434.333333333334,SO,,,,,,0
43,Falcon 9,True,68,2018-09-10T04:45:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,7060.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
44,Falcon 9,True,79,2019-05-24T02:30:00.000Z,3,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,13200.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
45,Falcon 9,True,87,2020-01-07T02:19:00.000Z,4,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
46,Falcon 9,True,95,2020-06-04T01:25:00.000Z,5,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
47,Falcon 9,True,100,2020-08-18T14:31:00.000Z,6,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
48,Falcon 9,True,109,2020-11-25T02:13:00.000Z,7,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
49,Falcon 9,True,74,2019-01-11T15:31:00.000Z,2,True,True,True,True,True,ASDS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,9,0,0,10,10,B1049,Satellite,9600.0,PO,JRTI,28.4104,-80.6188,38.0,37.0,1
50,Falcon 9,True,134,2021-09-14T03:55:00.000Z,10,True,True,True,True,True,ASDS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,9,0,0,10,10,B1049,Satellite,15600.0,PO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
51,Falcon 9,True,118,2021-03-04T08:24:00.000Z,8,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
52,Falcon 9,True,125,2021-05-04T19:01:00.000Z,9,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,9,0,0,10,10,B1049,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
53,Falcon 9,True,72,2018-12-05T18:16:00.000Z,1,True,True,False,True,False,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,0,1,0,0,0,B1050,Dragon 1.1,2573.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,0
54,Falcon 9,True,73,2018-12-23T13:51:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,0,0,0,0,0,B1054,Satellite,4400.0,MEO,,,,,,0
55,Falcon 9,True,84,2019-11-11T14:56:00.000Z,4,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,4,1,1,3,3,B1048,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
56,Falcon 9,True,66,2018-07-25T11:39:26.000Z,1,True,True,False,True,True,ASDS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,4,1,1,3,3,B1048,Satellite,9600.0,PO,JRTI,28.4104,-80.6188,38.0,37.0,1
57,Falcon 9,True,69,2018-10-08T02:22:00.000Z,2,True,True,True,True,True,RTLS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,4,1,1,3,3,B1048,Satellite,2800.0,SSO,LZ-4,34.632989,-120.615167,6.0,6.0,1
58,Falcon 9,True,92,2020-03-18T12:16:00.000Z,5,True,True,True,True,False,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,4,1,1,3,3,B1048,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,0
59,Falcon 9,True,78,2019-05-04T06:48:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,3,1,1,2,2,B1056,Dragon 1.1,2482.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,1
60,Falcon 9,True,82,2019-07-25T22:01:00.000Z,2,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,3,1,1,2,2,B1056,Dragon 1.1,2227.7,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
61,Falcon 9,True,86,2019-12-17T00:10:00.000Z,3,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,3,1,1,2,2,B1056,Satellite,6800.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
62,Falcon 9,True,90,2020-02-17T15:05:55.000Z,4,True,True,True,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,3,1,1,2,2,B1056,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,0
63,Falcon 9,True,85,2019-12-05T17:29:23.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,3,3,2,2,B1059,Dragon 1.1,5000.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,1
64,Falcon 9,True,91,2020-03-07T04:50:31.000Z,2,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,3,3,2,2,B1059,Dragon 1.1,1977.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
65,Falcon 9,True,96,2020-06-13T09:21:00.000Z,3,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,3,3,2,2,B1059,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
66,Falcon 9,True,101,2020-08-30T23:18:00.000Z,4,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,3,3,2,2,B1059,Satellite,1600.0,SSO,LZ-1,28.485833,-80.544444,21.0,20.0,1
67,Falcon 9,True,117,2021-02-16T03:59:00.000Z,6,True,True,True,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,5,3,3,2,2,B1059,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,0
68,Falcon 9,True,112,2020-12-19T14:00:00.000Z,5,True,True,True,True,True,RTLS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,5,3,3,2,2,B1059,Satellite,9120.12375,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
69,Falcon 9,True,89,2020-01-29T14:06:00.000Z,3,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
70,Falcon 9,True,111,2020-12-13T17:30:00.000Z,7,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1051,Satellite,7000.0,GTO,JRTI,28.4104,-80.6188,38.0,37.0,1
71,Falcon 9,True,126,2021-05-09T06:42:00.000Z,10,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
72,Falcon 9,True,154,2022-03-19T03:24:00.000Z,12,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1051,Satellite,13260.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
73,Falcon 9,True,174,2022-07-17T14:50:00.000Z,13,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1051,Satellite,13260.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
74,Falcon 9,True,80,2019-06-12T14:17:00.000Z,2,True,True,True,True,True,RTLS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,12,1,1,12,12,B1051,Satellite,1425.0,SSO,LZ-4,34.632989,-120.615167,6.0,6.0,1
75,Falcon 9,True,141,2021-12-18T12:41:40.000Z,11,True,True,True,True,True,ASDS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,12,1,1,12,12,B1051,Satellite,13260.0,PO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
76,Falcon 9,True,76,2019-03-02T07:45:00.000Z,1,True,True,False,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1051,Crew Dragon,12259.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,1
77,Falcon 9,True,93,2020-04-22T19:30:00.000Z,4,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
78,Falcon 9,True,104,2020-10-18T12:25:00.000Z,6,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
79,Falcon 9,True,114,2021-01-20T13:02:00.000Z,8,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
80,Falcon 9,True,120,2021-03-14T10:01:00.000Z,9,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1051,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
81,Falcon 9,True,97,2020-06-30T19:55:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,3880.0,MEO,JRTI,28.4104,-80.6188,38.0,37.0,1
82,Falcon 9,True,105,2020-10-24T15:31:00.000Z,3,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,15600.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
83,Falcon 9,True,113,2021-01-08T02:15:00.000Z,4,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,3500.0,GTO,JRTI,28.4104,-80.6188,38.0,37.0,1
84,Falcon 9,True,116,2021-02-04T06:19:00.000Z,5,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
85,Falcon 9,True,121,2021-03-24T08:28:00.000Z,6,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
86,Falcon 9,True,124,2021-04-29T03:44:00.000Z,7,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,15600.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
87,Falcon 9,True,132,2021-06-30T19:31:00.000Z,8,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,9120.12375,SSO,LZ-1,28.485833,-80.544444,21.0,20.0,1
88,Falcon 9,True,139,2021-12-01T23:20:00.000Z,9,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,13260.0,PO,ASOG,33.7291858,-118.262015,21.0,21.0,1
89,Falcon 9,True,158,2022-04-21T15:16:00.000Z,12,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,13260.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
90,Falcon 9,True,102,2020-09-03T12:46:00.000Z,2,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
91,Falcon 9,True,146,2022-01-19T00:04:00.000Z,10,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,VLEO,ASOG,33.7291858,-118.262015,21.0,21.0,1
92,Falcon 9,True,152,2022-03-03T14:35:00.000Z,11,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
93,Falcon 9,True,167,2022-06-01T17:08:50.000Z,13,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,VLEO,ASOG,33.7291858,-118.262015,21.0,21.0,1
94,Falcon 9,True,98,2020-07-20T21:30:00.000Z,2,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,9120.12375,GEO,JRTI,28.4104,-80.6188,38.0,37.0,1
95,Falcon 9,True,115,2021-01-24T15:00:00.000Z,5,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,9120.12375,SSO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
96,Falcon 9,True,119,2021-03-11T08:13:00.000Z,6,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,15600.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
97,Falcon 9,True,122,2021-04-07T16:34:00.000Z,7,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
98,Falcon 9,True,137,2021-11-13T12:40:00.000Z,9,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,LEO,JRTI,28.4104,-80.6188,38.0,37.0,1
99,Falcon 9,True,145,2022-01-13T15:25:00.000Z,10,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,9120.12375,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
100,Falcon 9,True,148,2022-02-02T20:18:00.000Z,1,True,True,False,True,True,RTLS,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,3,3,3,1,1,B1071,Satellite,9120.12375,LEO,LZ-4,34.632989,-120.615167,6.0,6.0,1
101,Falcon 9,True,150,2022-02-21T14:44:00.000Z,11,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,VLEO,ASOG,33.7291858,-118.262015,21.0,21.0,1
102,Falcon 9,True,171,2022-07-07T13:11:00.000Z,13,True,True,True,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,VLEO,JRTI,28.4104,-80.6188,38.0,37.0,1
103,Falcon 9,True,94,2020-05-30T19:22:00.000Z,1,True,True,False,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Crew Dragon,9525.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,1
104,Falcon 9,True,103,2020-10-06T11:29:00.000Z,3,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Satellite,15600.0,VLEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
