,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
99,Falcon 9,True,145,2022-01-13T15:25:00.000Z,10,True,True,True,True,True,RTLS,5e9e3032383ecb267a34e7c7,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,,,LEO,LZ-1,RTLS,28.485833,-80.544444,21.0,20.0
100,Falcon 9,True,148,2022-02-02T20:18:00.000Z,1,True,True,False,True,True,RTLS,5e9e3032383ecb554034e7c9,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,3,3,3,1,1,B1071,Satellite,,,LEO,LZ-4,RTLS,34.632989,-120.615167,6.0,6.0
101,Falcon 9,True,150,2022-02-21T14:44:00.000Z,11,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
102,Falcon 9,True,171,2022-07-07T13:11:00.000Z,13,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
103,Falcon 9,True,94,2020-05-30T19:22:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Crew Dragon,9525.0,20999.03,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
104,Falcon 9,True,103,2020-10-06T11:29:00.000Z,3,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Satellite,15600.0,34392.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
105,Falcon 9,True,110,2020-12-06T16:17:00.000Z,4,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Dragon 2.0,2972.0,6552.138,ISS,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
106,Falcon 9,True,161,2022-05-06T09:42:00.000Z,12,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,13,1,1,13,13,B1058,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
107,Falcon 9,True,106,2020-11-05T23:24:00.000Z,1,True,True,False,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,3681.0,8115.216,MEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
108,Falcon 9,True,131,2021-06-17T16:09:00.000Z,2,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,3681.0,8115.22,MEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
109,Falcon 9,True,160,2022-04-29T21:27:00.000Z,6,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
110,Falcon 9,True,166,2022-06-08T21:04:00.000Z,7,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,3938.0,8681.804,GEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
